0.000000,0.400000,0.400000
0.010000,0.397618,0.401606
0.020000,0.395272,0.403225
0.030000,0.392961,0.404856
0.040000,0.390684,0.406499
0.050000,0.388440,0.408154
0.060000,0.386228,0.409820
0.070000,0.384048,0.411497
0.080000,0.381898,0.413185
0.090000,0.379778,0.414883
0.100000,0.377688,0.416592
0.110000,0.375626,0.418311
0.120000,0.373592,0.420040
0.130000,0.371584,0.421778
0.140000,0.369604,0.423526
0.150000,0.367649,0.425283
0.160000,0.365719,0.427048
0.170000,0.363814,0.428823
0.180000,0.361933,0.430605
0.190000,0.360076,0.432396
0.200000,0.358241,0.434194
0.210000,0.356429,0.436001
0.220000,0.354639,0.437814
0.230000,0.352870,0.439635
0.240000,0.351122,0.441463
0.250000,0.349395,0.443298
0.260000,0.347687,0.445139
0.270000,0.346000,0.446986
0.280000,0.344331,0.448840
0.290000,0.342681,0.450700
0.300000,0.341049,0.452565
0.310000,0.339436,0.454436
0.320000,0.337840,0.456312
0.330000,0.336261,0.458193
0.340000,0.334699,0.460079
0.350000,0.333154,0.461969
0.360000,0.331624,0.463864
0.370000,0.330111,0.465764
0.380000,0.328613,0.467667
0.390000,0.327130,0.469575
0.400000,0.325662,0.471486
0.410000,0.324209,0.473400
0.420000,0.322770,0.475318
0.430000,0.321345,0.477239
0.440000,0.319933,0.479163
0.450000,0.318536,0.481090
0.460000,0.317151,0.483019
0.470000,0.315780,0.484950
0.480000,0.314421,0.486884
0.490000,0.313074,0.488820
0.500000,0.311740,0.490758
0.510000,0.310418,0.492697
0.520000,0.309108,0.494638
0.530000,0.307810,0.496580
0.540000,0.306522,0.498523
0.550000,0.305246,0.500467
0.560000,0.303981,0.502412
0.570000,0.302727,0.504358
0.580000,0.301483,0.506304
0.590000,0.300250,0.508251
0.600000,0.299027,0.510197
0.610000,0.297814,0.512144
0.620000,0.296611,0.514090
0.630000,0.295418,0.516037
0.640000,0.294234,0.517982
0.650000,0.293060,0.519927
0.660000,0.291895,0.521872
0.670000,0.290739,0.523815
0.680000,0.289592,0.525757
0.690000,0.288454,0.527698
0.700000,0.287324,0.529638
0.710000,0.286203,0.531576
